UF;CD_UF;CD_MUNICIPIO;MUN;POP_EST;CD_MUN_IBGE;CD_MUN;AREA_MUN;DENS_POP
CE;23.0;1901.0;Barbalha;80217.0;2301901.0;2301901;608.158;131.9
SP;35.0;2903.0;Araçoiaba da Serra;33656.0;3502903.0;3502903;255.305;131.8
AL;27.0;2603.0;Feira Grande;23191.0;2702603.0;2702603;175.906;131.8
PE;26.0;1904.0;Bezerros;64809.0;2601904.0;2601904;492.632;131.6
BA;29.0;31350.0;Teixeira de Freitas;153332.0;2931350.0;2931350;1165.622;131.5
RN;24.0;14803.0;Vera Cruz;11044.0;2414803.0;2414803;84.127;131.3
AL;27.0;9152.0;Teotônio Vilela;39161.0;2709152.0;2709152;299.221;130.9
PB;25.0;7101.0;Itapororoca;19054.0;2507101.0;2507101;145.806;130.7
SC;42.0;10407.0;Maracajá;8213.0;4210407.0;4210407;62.902;130.6
BA;29.0;8200.0;Conceição da Feira;21499.0;2908200.0;2908200;164.798;130.5
SC;42.0;9003.0;Joaçaba;31509.0;4209003.0;4209003;241.637;130.4
PB;25.0;7903.0;Juripiranga;10259.0;2507903.0;2507903;78.706;130.3
MG;31.0;5301.0;Bandeira do Sul;6146.0;3105301.0;3105301;47.266;130.0
SC;42.0;1307.0;Araquari;50178.0;4201307.0;4201307;386.693;129.8
PB;25.0;9339.0;Matinhas;4735.0;2509339.0;2509339;36.522;129.6
SP;35.0;34609.0;Osvaldo Cruz;32099.0;3534609.0;3534609;248.038;129.4
PE;26.0;6101.0;Glória do Goitá;30370.0;2606101.0;2606101;234.708;129.4
PE;26.0;1706.0;Belo Jardim;83647.0;2601706.0;2601706;647.445;129.2
SC;42.0;17402.0;Schroeder;21273.0;4217402.0;4217402;165.237;128.7
RJ;33.0;4300.0;Rio Bonito;59113.0;3304300.0;3304300;459.458;128.7
RJ;33.0;1009.0;Campos dos Goytacazes;519011.0;3301009.0;3301009;4032.487;128.7
MG;31.0;43906.0;Muriaé;108161.0;3143906.0;3143906;841.693;128.5
SP;35.0;5807.0;Bastos;21900.0;3505807.0;3505807;170.912;128.1
RN;24.0;8300.0;Nova Cruz;35534.0;2408300.0;2408300;277.658;128.0
RS;43.0;10207.0;Ijuí;87775.0;4310207.0;4310207;688.982;127.4
AL;27.0;508.0;Barra de Santo Antônio;16735.0;2700508.0;2700508;131.364;127.4
SP;35.0;49706.0;São José do Rio Pardo;53416.0;3549706.0;3549706;419.684;127.3
RN;24.0;7252.0;Major Sales;4067.0;2407252.0;2407252;31.971;127.2
RS;43.0;8508.0;Frederico Westphalen;33684.0;4308508.0;4308508;265.181;127.0
PE;26.0;11408.0;Primavera;14351.0;2611408.0;2611408;113.135;126.8
PB;25.0;502.0;Alagoinha;14118.0;2500502.0;2500502;111.361;126.8
MG;31.0;52105.0;Ponte Nova;59569.0;3152105.0;3152105;470.643;126.6
PB;25.0;15807.0;Serra Redonda;6984.0;2515807.0;2515807;55.197;126.5
PB;25.0;11905.0;Pitimbu;17164.0;2511905.0;2511905;135.801;126.4
AL;27.0;9103.0;Taquarana;19422.0;2709103.0;2709103;153.841;126.2
MG;31.0;10608.0;Cambuí;30870.0;3110608.0;3110608;244.567;126.2
RN;24.0;2204.0;Canguaretama;30806.0;2402204.0;2402204;245.485;125.5
SE;28.0;506.0;Areia Branca;18560.0;2800506.0;2800506;148.134;125.3
RJ;33.0;4201.0;Resende;137612.0;3304201.0;3304201;1099.336;125.2
PB;25.0;5808.0;Duas Estradas;3377.0;2505808.0;2505808;27.012;125.0
PB;25.0;12507.0;Queimadas;50214.0;2512507.0;2512507;402.748;124.7
MG;31.0;56304.0;Rodeiro;9064.0;3156304.0;3156304;72.673;124.7
AL;27.0;2009.0;Coité do Nóia;11036.0;2702009.0;2702009;88.759;124.3
PB;25.0;601.0;Alhandra;22797.0;2500601.0;2500601;183.974;123.9
PB;25.0;11509.0;Pilar;12801.0;2511509.0;2511509;103.306;123.9
RN;24.0;9407.0;Pau dos Ferros;31975.0;2409407.0;2409407;259.959;123.0
PE;26.0;302.0;Agrestina;24615.0;2600302.0;2600302;200.369;122.8
RS;43.0;2402.0;Bom Retiro do Sul;12578.0;4302402.0;4302402;102.54;122.7
PB;25.0;12762.0;Riachão do Poço;4946.0;2512762.0;2512762;40.46;122.2
SE;28.0;670.0;Boquim;25038.0;2800670.0;2800670;205.443;121.9
MG;31.0;37205.0;Lagoa da Prata;53583.0;3137205.0;3137205;439.984;121.8
CE;23.0;4202.0;Crato;138232.0;2304202.0;2304202;1138.15;121.5
MA;21.0;8504.0;Pindaré-Mirim;32521.0;2108504.0;2108504;268.285;121.2
SP;35.0;49409.0;São Joaquim da Barra;49815.0;3549409.0;3549409;410.863;121.2
PB;25.0;12754.0;Riachão do Bacamarte;4877.0;2512754.0;2512754;40.281;121.1
BA;29.0;33307.0;Vitória da Conquista;394024.0;2933307.0;2933307;3254.186;121.1
MG;31.0;43302.0;Montes Claros;434321.0;3143302.0;3143302;3589.811;121.0
RJ;33.0;159.0;Aperibé;11420.0;3300159.0;3300159;94.542;120.8
ES;32.0;1100.0;Bom Jesus do Norte;10764.0;3201100.0;3201100;89.084;120.8
PE;26.0;7653.0;Itambé;36626.0;2607653.0;2607653;304.006;120.5
